fund_a,fund_b,shared_managers
111992329,204046036,1
111992329,205404353,1
111992329,222842846,2
111992329,231539454,1
111992329,231695009,2
111992329,231695529,2
111992329,231744831,2
111992329,232063262,1
111992329,232220475,1
111992329,232362216,3
111992329,232510674,1
111992329,232610181,1
111992329,232687798,1
111992329,232971010,2
111992329,237404857,2
111992329,251659394,1
111992329,251675849,1
111992329,251792083,3
111992329,251851827,2
111992329,263892463,1
111992329,272493878,2
111992329,310646123,1
111992329,331097329,2
111992329,352121147,1
111992329,412038882,1
111992329,430902269,1
111992329,462819181,2
111992329,470899236,1
111992329,474222697,1
111992329,474749384,1
111992329,510342132,1
111992329,510467698,2
111992329,541527978,1
111992329,582644728,1
111992329,820538459,2
111992329,830376638,1
111992329,844034514,2
111992329,870575504,1
111992329,874170846,1
111992329,880099795,1
112156739,232610181,1
112593090,20329382,1
112593090,208175031,1
112593090,232351964,1
112593090,232453088,1
112593090,330326013,1
112593090,390362010,1
112593090,541108079,1
112593090,823615975,1
112593090,854270873,1
112593090,931049977,1
112593090,943270968,1
112845313,113521426,1
112845313,132621497,1
112845313,132922204,1
112845313,203160292,1
112845313,20377419,1
112845313,20478308,1
112845313,20482717,1
112845313,20681934,1
112845313,208066203,1
112845313,231311874,1
112845313,260071475,1
112845313,264086627,1
112845313,264656792,1
112845313,271521006,1
112845313,320539100,1
112845313,341406066,1
112845313,362762678,1
112845313,421206172,1
112845313,42726691,1
112845313,43481758,1
112845313,440663509,1
112845313,455586030,1
112845313,472817157,1
112845313,473599330,1
112845313,473768464,1
112845313,520482550,1
112845313,521563984,1
112845313,522206266,1
112845313,541145723,1
112845313,550917836,1
112845313,561216391,1
112845313,562537962,1
112845313,581984495,1
112845313,60726489,1
112845313,650367984,1
112845313,650540100,1
112845313,742995593,1
112845313,752372684,1
112845313,752694563,1
112845313,752875180,1
112845313,800324447,1
112845313,813881290,1
112845313,821459401,1
112845313,823563982,1
112845313,831254672,1
112845313,832809084,1
112845313,850106941,1
112845313,850615121,1
112845313,850892816,1
112845313,853324939,1
112845313,872007795,1
112845313,954049363,1
112845313,990113530,1
112845313,991972777,1
113521426,112845313,1
113521426,132621497,1
113521426,132922204,1
113521426,203160292,1
113521426,20377419,1
113521426,20478308,1
113521426,20482717,1
113521426,20681934,1
113521426,208066203,1
113521426,231311874,1
113521426,260071475,1
113521426,264086627,1
113521426,264656792,1
113521426,271521006,1
113521426,320539100,1
113521426,341406066,1
113521426,362762678,1
113521426,421206172,1
113521426,42726691,1
113521426,43481758,1
113521426,440663509,1
113521426,455586030,1
113521426,472817157,1
113521426,473599330,1
113521426,473768464,1
113521426,520482550,1
113521426,521563984,1
113521426,522206266,1
113521426,541145723,1
113521426,550917836,1
113521426,561216391,1
113521426,562537962,1
113521426,581984495,1
113521426,60646520,1
113521426,60726489,1
113521426,650367984,1
113521426,650540100,1
113521426,742995593,1
113521426,752372684,1
113521426,752694563,1
113521426,752875180,1
113521426,800324447,1
113521426,813881290,1
113521426,821459401,1
113521426,823563982,1
113521426,831254672,1
113521426,832809084,1
113521426,850106941,1
113521426,850615121,1
113521426,850892816,1
113521426,853324939,1
113521426,872007795,1
113521426,954049363,1
113521426,990113530,1
113521426,991972777,1
113580024,310536640,1
113580024,42103585,1
113580024,521447069,1
113580024,530204701,1
113580024,940382325,1
113580024,951642398,1
131893923,20329382,1
131893923,360756300,1
131893923,540499731,1
132621497,112845313,1
132621497,113521426,1
132621497,132922204,1
132621497,203160292,1
132621497,20377419,1
132621497,20478308,1
132621497,20482717,1
132621497,20681934,1
132621497,208066203,1
132621497,231311874,1
132621497,260071475,1
132621497,264086627,1
132621497,264656792,1
132621497,271521006,1
132621497,320539100,1
132621497,341406066,1
132621497,362762678,1
132621497,421206172,1
132621497,42726691,1
132621497,43481758,1
132621497,440663509,1
132621497,455586030,1
132621497,472817157,1
132621497,473599330,1
132621497,473768464,1
132621497,520482550,1
132621497,521563984,1
132621497,522206266,1
132621497,541145723,1
132621497,550917836,1
132621497,561216391,1
132621497,562537962,1
132621497,581984495,1
132621497,60726489,1
132621497,650367984,1
132621497,650540100,1
132621497,742995593,1
132621497,752372684,1
132621497,752694563,1
132621497,752875180,1
132621497,800324447,1
132621497,813881290,1
132621497,821459401,1
132621497,823563982,1
132621497,831254672,1
132621497,832809084,1
132621497,850106941,1
132621497,850615121,1
132621497,850892816,1
132621497,853324939,1
132621497,872007795,1
132621497,954049363,1
132621497,990113530,1
132621497,991972777,1
132742395,134233377,2
132742395,141881132,1
132742395,161490676,1
132742395,203880413,1
132742395,205702117,1
132742395,205989542,1
132742395,208250290,1
132742395,208538333,1
132742395,221296609,1
132742395,260610707,1
132742395,260846505,1
132742395,270061167,1
132742395,271883111,1
132742395,300284495,1
132742395,314159950,2
132742395,340778636,1
132742395,352257489,1
132742395,362495346,1
132742395,362989662,1
132742395,381067560,1
132742395,421105676,1
132742395,42510895,1
132742395,431118328,1
132742395,451273930,1
132742395,452653391,2
132742395,453506561,1
132742395,455240671,1
132742395,462436774,1
132742395,463485489,1
132742395,472150172,2
132742395,520563938,1
132742395,562401998,1
132742395,611145339,1
132742395,680661238,1
132742395,710653502,2
132742395,760475815,1
132742395,813040678,1
132742395,822265990,1
132742395,832783957,1
132742395,842795435,1
132742395,853070386,1
132742395,923046645,2
132742395,942537238,2
132742395,952976080,1
132742395,953077405,1
132922204,112845313,1
132922204,113521426,1
132922204,132621497,1
132922204,203160292,1
132922204,20377419,1
132922204,20478308,2
132922204,20482717,1
132922204,20681934,1
132922204,208066203,1
132922204,231311874,2
132922204,260071475,1
132922204,264086627,1
132922204,264656792,1
132922204,271521006,1
132922204,320539100,1
132922204,341406066,1
132922204,362762678,1
132922204,421206172,1
132922204,42726691,2
132922204,43481758,1
132922204,440663509,2
132922204,455586030,1
132922204,472817157,1
132922204,473599330,1
132922204,473768464,1
132922204,520482550,1
132922204,521563984,1
132922204,522206266,2
132922204,541145723,1
132922204,550917836,1
132922204,561216391,1
132922204,562537962,1
132922204,581984495,1
132922204,60726489,1
132922204,650367984,1
132922204,650540100,1
132922204,742995593,1
132922204,752372684,1
132922204,752694563,1
132922204,752875180,2
132922204,800324447,1
132922204,813881290,1
132922204,821459401,1
132922204,823563982,2
132922204,831254672,1
132922204,832809084,1
132922204,850106941,1
132922204,850615121,1
132922204,850892816,1
132922204,853324939,1
132922204,872007795,2
132922204,954049363,1
132922204,990113530,1
132922204,991972777,1
133063500,471797746,1
133063500,60465530,1
133063500,911006438,1
134233377,132742395,2
134233377,141881132,1
134233377,161490676,1
134233377,203880413,1
134233377,205702117,1
134233377,205989542,1
134233377,208250290,1
134233377,208538333,1
134233377,221296609,1
134233377,260610707,1
134233377,260846505,1
134233377,270061167,1
134233377,271883111,1
134233377,300284495,1
134233377,314159950,2
134233377,340778636,1
134233377,352257489,1
134233377,362495346,1
134233377,362989662,1
134233377,381067560,1
134233377,421105676,1
134233377,42510895,1
134233377,431118328,1
134233377,451273930,1
134233377,452653391,2
134233377,453506561,1
134233377,455240671,1
134233377,462436774,1
134233377,463485489,1
134233377,472150172,2
134233377,520563938,1
134233377,562401998,1
134233377,611145339,1
134233377,680661238,1
134233377,710653502,2
134233377,760475815,1
134233377,813040678,1
134233377,822265990,1
134233377,832783957,1
134233377,842795435,1
134233377,853070386,1
134233377,923046645,2
134233377,942537238,2
134233377,952976080,1
134233377,953077405,1
141442607,341663157,1
141681699,561507131,1
141881132,132742395,1
141881132,134233377,1
141881132,161490676,1
141881132,203880413,1
141881132,205702117,1
141881132,205989542,1
141881132,208250290,1
141881132,208538333,2
141881132,221296609,1
141881132,260610707,1
141881132,260846505,2
141881132,270061167,1
141881132,271883111,1
141881132,300284495,2
141881132,314159950,1
141881132,340778636,1
141881132,352257489,1
141881132,362989662,1
141881132,381067560,1
141881132,421105676,2
141881132,42510895,1
141881132,451273930,2
141881132,452653391,1
141881132,453506561,1
141881132,455240671,1
141881132,462436774,1
141881132,463485489,1
141881132,472150172,1
141881132,520563938,1
141881132,562401998,1
141881132,611145339,2
141881132,680661238,1
141881132,710653502,2
141881132,760475815,1
141881132,813040678,1
141881132,822265990,2
141881132,832783957,1
141881132,842795435,1
141881132,853070386,1
141881132,923046645,2
141881132,942537238,1
141881132,952976080,1
141881132,953077405,2
146075575,473297412,2
146075575,473372642,1
146075575,520591656,2
146075575,521250028,2
146075575,521341890,2
146075575,521811971,2
146075575,540698135,2
146075575,860436017,1
146075575,911854749,1
146075575,941732792,1
161490676,132742395,1
161490676,134233377,1
161490676,141881132,1
161490676,203880413,1
161490676,205702117,1
161490676,205989542,1
161490676,208250290,1
161490676,208538333,1
161490676,221296609,1
161490676,260610707,1
161490676,260846505,1
161490676,270061167,1
161490676,271883111,1
161490676,300284495,1
161490676,314159950,1
161490676,340778636,1
161490676,352257489,1
161490676,362989662,1
161490676,381067560,1
161490676,421105676,1
161490676,42510895,1
161490676,451273930,1
161490676,452653391,1
161490676,453506561,1
161490676,455240671,1
