fund_ein,manager_ein,manager_name,fee_paid
834225264,710294708,VOYA RETIREMENT INSURANCE & ANNUITY,40714.0
834225264,352552359,KESTRA ADVISORY SERVICES LLC,0.0
200055506,383269858,PROBUS TECHNICAL SERVICES INC,4000.0
200055506,383269858,PROBUS TECHNICAL SERVICES INC,4000.0
473061484,471371230,RALSTON DEVELOPMENT INC,5000.0
200849843,390989781,TRANSAMERICA LIFE INSURANCE COMPANY,15137.0
200849843,770155091,HICKS PENSION SERVICES,14700.0
232362216,231294723,HIGHMARK BLUE SHIELD (CENTRAL),32272.0
232362216,232399040,COMMONWEALTH BENEFITS GROUP,17190.0
232362216,231315351,THE BENECON GROUP,14220.0
232362216,261768616,CONNECTCARE3,2971.0
232362216,231294723,HIGHMARK BLUE SHIELD (CENTRAL),28808.0
232362216,232399040,COMMONWEALTH BENEFITS GROUP,17910.0
232362216,231315351,THE BENECON GROUP,9950.0
232362216,261768616,CONNECTCARE3,2717.0
232362216,231294723,HIGHMARK BLUE SHIELD (CENTRAL),30486.0
232362216,232399040,COMMONWEALTH BENEFITS GROUP,18570.0
232362216,231315351,THE BENECON GROUP,10541.0
232362216,261768616,CONNECTCARE3,2909.0
232362216,231294723,HIGHMARK BLUE SHIELD (CENTRAL),33983.0
232362216,232399040,COMMONWEALTH BENEFITS GROUP,20700.0
232362216,231315351,THE BENECON GROUP,12124.0
232362216,261768616,CONNECTCARE3,3347.0
232362216,232399040,COMMONWEALTH BENEFITS GROUP,19631.0
232362216,230455154,CAPITAL BLUECROSS,19276.0
232362216,231315351,THE BENECON GROUP,12077.0
232362216,261768616,CONNECTCARE3,3510.0
232362216,231294723,HIGHMARK BLUE SHIELD (CENTRAL),3131.0
232362216,230455154,CAPITAL BLUECROSS,23128.0
232362216,232399040,COMMONWEALTH BENEFITS GROUP,22680.0
232362216,231315351,THE BENECON GROUP,14780.0
232362216,261768616,CONNECTCARE3,3780.0
232362216,232399040,COMMONWEALTH BENEFITS GROUP,21210.0
232362216,230455154,CAPITAL BLUECROSS,19774.0
232362216,231315351,THE BENECON GROUP,13180.0
232362216,261768616,CONNECTCARE3,3606.0
232362216,232399040,COMMONWEALTH BENEFITS GROUP,20940.0
232362216,230455154,CAPITAL BLUECROSS,16050.0
