ein,name,pagerank_score,num_clients,total_fees,same_parent_flag,parent_group_id,group_size,community_id
,Example Manager,0.15000000000000002,0,,,,,1
,BlackRock,0.15000000000000002,312,,,,,7
,Vanguard,0.15000000000000002,278,,,,,7
,State Street Global Advisors,0.15000000000000002,189,,,,,7
,JPMorgan Asset Management,0.15000000000000002,143,,,,,7
10233346,JOHN HANCOCK USA,0.15000000000000002,1,9297.0,1.0,0.0,3.0,4497
10726056,CONRAD SIEGEL INVESTMENT ADVISORS,0.15000000000000002,1,228671.0,0.0,1.0,1.0,4151
112778625,BLATT & DAUMAN LLP,0.15000000000000002,1,10000.0,0.0,2.0,1.0,4132
113271022,"ASSOCIATED PENSION CONSULTANTS, INC",0.15000000000000002,1,3240.0,1.0,3.0,2.0,4132
113335620,GOVERNMENT SERVICE CONTRACTORS,0.15000000000000002,1,14100.0,,,,4117
113401702,INTAC,0.15000000000000002,1,24615.0,,,,4118
113544517,THE ROSENBAUM LAW FIRM P.C.,0.15000000000000002,1,4141.0,0.0,4.0,1.0,4168
113639254,VANDERBILT SECURITIES LLC,0.15000000000000002,1,23330.0,0.0,5.0,1.0,4140
113665754,"ASCENSUS, LLC",0.15000000000000002,1,22815.0,1.0,6.0,2.0,4133
131459550,MAZARS USA LLP,0.15000000000000002,1,0.0,,,,4404
131624203,TIAA-TEACHERS INSUR & ANNUITY ASSOC,0.15000000000000002,1,10314.0,0.0,7.0,1.0,4493
131639826,EISNER AMPER LLP,0.15000000000000002,1,62100.0,,,,4447
132624428,JPMORGAN INVEST HOLDINGS LLC,0.15000000000000002,1,330.0,1.0,8.0,2.0,4140
132638166,"UBS FINANCIAL SERVICES, INC.",0.15000000000000002,1,22616.0,1.0,9.0,3.0,4140
132700161,VICTORY CAPITAL MANAGEMENT INC.,0.15000000000000002,1,143497.0,0.0,10.0,1.0,4287
132834414,MERCER,0.15000000000000002,1,13601.0,,,,4420
132919773,SMITH BARNEY CONSULTING,0.15000000000000002,1,163001.0,,,,4524
133036745,"ADP, LLC",0.15000000000000002,1,6941.0,1.0,11.0,2.0,4447
133068979,"MULTIPLAN, INC",0.15000000000000002,1,18892.0,0.0,12.0,1.0,4482
133180631,COLUMBIA MANAGEMENT,0.15000000000000002,1,39735.0,0.0,13.0,1.0,4132
133352347,PGIM INVESTMENTS,0.15000000000000002,1,0.0,0.0,14.0,1.0,4133
133646501,JOHN HANCOCK NEW YORK,0.15000000000000002,1,148.0,0.0,15.0,1.0,4134
133689044,TRANSAMERICA RETIREMENT SOLUTIONS,0.15000000000000002,15,446270.0,0.0,16.0,1.0,4151
133731507,LORD ABBETT,0.15000000000000002,2,0.0,,,,4140
133954297,BUCK CONSULTANTS,0.15000000000000002,1,16480.0,,,,4524
134144565,THE BENEFIT PRACTICE,0.15000000000000002,2,2314.0,,,,4138
134238973,"TRANSITION FINANCE STRATEGIES, LLC",0.15000000000000002,1,20155.0,0.0,17.0,1.0,4401
134255527,"CALVETTI FERGUSON, LLC",0.15000000000000002,1,14584.0,0.0,18.0,1.0,4140
135160382,THE BANK OF NEW YORK MELLON,0.15000000000000002,1,71857.0,1.0,19.0,2.0,4381
135381590,BDO SEIDMAN LLP,0.15000000000000002,1,8880.0,,,,4420
135570651,EQUITABLE LIFE INSURANCE COMPANY,0.15000000000000002,1,11627.0,0.0,20.0,1.0,4143
135581829,METROPOLITAN LIFE INSURANCE COMPANY,0.15000000000000002,1,30.0,0.0,21.0,1.0,4496
135674085,"MERRILL LYNCH, PIERCE, FENNER AND S",0.15000000000000002,2,214106.0,1.0,22.0,3.0,4497
141604297,"RBT CPAS, LLP",0.15000000000000002,1,12561.0,,,,4401
141918990,TEMPLETON & COMPANY LLP,0.15000000000000002,1,17418.0,0.0,23.0,1.0,4168
150329043,EXCELLUS BLUE CROSS BLUE SHIELD,0.15000000000000002,1,18778.0,0.0,24.0,1.0,4148
160765486,LUMSDEN MCCORMICK LLP,0.15000000000000002,1,7793.0,,,,4149
161124166,"PAYCHEX, INC.",0.15000000000000002,9,76265.0,0.0,25.0,1.0,4150
161131146,BONADIO & CO. LLP,0.15000000000000002,1,31000.0,0.0,26.0,1.0,4151
161264154,"MERITAIN HEALTH, AN AETNA COMPANY",0.15000000000000002,8,287171.0,0.0,27.0,1.0,4463
161450952,EPIC RETIREMENT PLAN SERVICES,0.15000000000000002,2,52202.0,0.0,28.0,1.0,4151
161486352,PAYCHEX SECURITIES CORP.,0.15000000000000002,1,28038.0,0.0,29.0,1.0,4497
161662117,"MEDWATCH, LLC",0.15000000000000002,1,5989.0,0.0,30.0,1.0,4482
200488721,CYBERSOFT TECHNOLOGIES CORPORATION,0.15000000000000002,2,3000.0,0.0,31.0,1.0,4156
200849843,LEE CPA AUDIT GROUP,0.15000000000000002,1,4478.0,0.0,32.0,1.0,4157
200878127,BROWN & BROWN OF PENNSYLVANIA,0.15000000000000002,1,26649.0,1.0,33.0,3.0,4158
201054428,ACTUARIAL BENEFITS CORP.,0.15000000000000002,1,0.0,0.0,34.0,1.0,4159
201181458,NOVA 401(K) ASSOCIATES LP,0.15000000000000002,1,7761.0,0.0,35.0,1.0,4168
201301962,TPP RETIREMENT PLAN SPECIALISTS,0.15000000000000002,1,11951.0,0.0,36.0,1.0,4353
201489174,"TURNER, WOOD & SMITH",0.15000000000000002,1,190880.0,0.0,37.0,1.0,4402
201903821,MONETA GROUP LLC,0.15000000000000002,1,29350.0,0.0,38.0,1.0,4163
202153727,"SB & COMPANY, LLC",0.15000000000000002,1,11213.0,1.0,39.0,2.0,4151
203354970,LOCKTON COMPANIES,0.15000000000000002,1,22275.0,,,,4165
203886993,"NATIONAL BENEFIT SERVICES, LLC",0.15000000000000002,1,13749.0,0.0,40.0,1.0,4459
