ein,name,total_fees,num_clients
10233346,JOHN HANCOCK,377098.0,2
10233346,JOHN HANCOCK LIFE INS. CO.,15264.0,1
10233346,JOHN HANCOCK LIFE INSURANCE CO (USA,270.0,1
10233346,JOHN HANCOCK LIFE INSURANCE COMPANY,17051.0,5
10233346,JOHN HANCOCK USA,9297.0,1
10726056,CONRAD SIEGEL INVESTMENT ADVISORS,228671.0,1
112778625,BLATT & DAUMAN LLP,10000.0,1
113271022,"ASSOCIATED PENSION CONSULTANTS, INC",3240.0,1
113335620,GOVERNMENT SERVICE CONTRACTORS,14100.0,1
113401702,INTAC,24615.0,1
113544517,THE ROSENBAUM LAW FIRM P.C.,4141.0,1
113639254,VANDERBILT SECURITIES LLC,23330.0,1
113665754,ASCENSUS LLC,94258.0,8
113665754,"ASCENSUS, LLC",22815.0,1
131459550,MAZARS USA LLP,0.0,1
131624203,TIAA,216819.0,8
131624203,TIAA-TEACHERS INSUR & ANNUITY ASSOC,10314.0,1
131639826,EISNER AMPER LLP,62100.0,1
132624428,JP MORGAN FUNDS,0.0,1
132624428,JPMORGAN INVEST HOLDINGS LLC,330.0,1
132638166,UBS FINANCIAL SERVICES,12324.0,1
132638166,UBS FINANCIAL SERVICES INC,68881.0,2
132638166,"UBS FINANCIAL SERVICES, INC.",22616.0,1
132700161,VICTORY CAPITAL MANAGEMENT INC.,143497.0,1
132834414,MERCER,13601.0,1
132919773,GRAYSTONE CONSULTING (MSSB),465564.0,2
132919773,SMITH BARNEY CONSULTING,163001.0,1
133036745,"ADP, INC.",1153569.0,32
133036745,"ADP, LLC",6941.0,1
133068979,"MULTIPLAN, INC",18892.0,1
133180631,COLUMBIA MANAGEMENT,39735.0,1
133352347,PGIM INVESTMENTS,0.0,1
133646501,JOHN HANCOCK NEW YORK,148.0,1
133689044,TRANSAMERICA RETIREMENT SOLUTIONS,446270.0,15
133731507,LORD ABBETT,0.0,2
133954297,BUCK CONSULTANTS,16480.0,1
134144565,THE BENEFIT PRACTICE,2314.0,2
134238973,TRANSITION FINANCE STRATEGIES,44292.0,2
134238973,"TRANSITION FINANCE STRATEGIES, LLC",20155.0,1
134255527,"CALVETTI FERGUSON, LLC",14584.0,1
135160382,BANK OF NEW YORK MELLON,8207.0,1
135160382,THE BANK OF NEW YORK MELLON,71857.0,1
135381590,BDO SEIDMAN LLP,8880.0,1
135570651,EQUITABLE LIFE INSURANCE COMPANY,11627.0,1
135581829,METROPOLITAN LIFE INSURANCE COMPANY,30.0,1
135674085,MERRILL LYNCH,14851.0,2
135674085,MERRILL LYNCH PIERCE FENNER & SMITH,10270.0,5
135674085,MERRILL LYNCH RETIREMENT BENEFIT SV,15037.0,1
135674085,"MERRILL LYNCH, PIERCE, FENNER AND S",214106.0,2
141604297,"RBT CPAS, LLP",12561.0,1
141918990,TEMPLETON & COMPANY LLP,17418.0,1
150329043,EXCELLUS BLUE CROSS BLUE SHIELD,18778.0,1
160765486,LUMSDEN MCCORMICK LLP,7793.0,1
161124166,"PAYCHEX, INC.",76265.0,9
161131146,BONADIO & CO. LLP,31000.0,1
161264154,MERITAIN HEALTH,107533.0,3
161264154,"MERITAIN HEALTH, AN AETNA COMPANY",287171.0,8
161450952,EPIC RETIREMENT PLAN SERVICES,52202.0,2
161486352,PAYCHEX SECURITIES CORP.,28038.0,1
161662117,"MEDWATCH, LLC",5989.0,1
200488721,CYBERSOFT TECHNOLOGIES CORPORATION,3000.0,2
200849843,LEE CPA AUDIT GROUP,4478.0,1
200878127,BROWN & BROWN (PA),24150.0,1
200878127,BROWN & BROWN OF PENNSYLVANIA,26649.0,1
201054428,ACTUARIAL BENEFITS CORP.,0.0,1
201181458,NOVA 401(K) ASSOCIATES LP,7761.0,1
201301962,TPP RETIREMENT PLAN SPECIALISTS,11951.0,1
201489174,"TURNER, WOOD & SMITH",190880.0,1
201903821,MONETA GROUP LLC,29350.0,1
202153727,SB & COMPANY LLC,35935.0,2
202153727,"SB & COMPANY, LLC",11213.0,1
203354970,LOCKTON COMPANIES,22275.0,1
203886993,"NATIONAL BENEFIT SERVICES, LLC",13749.0,1
203917294,GRANITE FINANCIAL PARTNERS,121908.0,2
203974530,OVATION HEALTH & LIFE SERVICES,8577.0,1
204795685,COMPASS RETIREMENT CONSULTING GROUP,0.0,1
208307105,BAM ADVISOR SERVICES LLC,13758.0,1
208307105,FOCUS PARTNERS ADVISOR SOLUTIONS,27779.0,1
208874282,LOCKTON INVESTMENT ADVISORS,0.0,1
208874282,LOCKTON INVESTMENT ADVISORS LLC,6399.0,2
208981027,CAREOPERATIVE RECEIVABLES- HC,21353.0,1
221146430,PNC BANK NATIONAL ASSOCIATION,10669.0,1
221146430,"PNC BANK, NATIONAL ASSOCIATION",19381.0,1
221211670,PRUDENTAL INSURANCE CO.,185782.0,1
221211670,PRUDENTIAL INSUARNCE CO.,204703.0,1
221211670,PRUDENTIAL INSURANCE COMPANY,11591887.0,1
222232264,AON CONSULTING,88191.0,1
222978848,BEDERSON LLP,60500.0,1
223319984,ADP BROKER-DEALER,0.0,13
223703799,PRUDENTIAL JENNISON,0.0,1
230455154,CAPITAL BLUE CROSS,56877.0,9
230455154,CAPITAL BLUECROSS,38517.0,14
230558310,"ENGLE-HAMBRIGHT & DAVIES, INC. (EHD",22414.0,1
230731260,JANNEY MONTGOMERY SCOTT LLC,0.0,1
231294723,HIGHMARK,24355.0,1
231294723,HIGHMARK BLUE SHIELD (CENTRAL),110277.0,8
