ein,name,total_fees,num_clients,name_clean,is_person,parent_group_id,group_size,same_parent_flag
10233346,JOHN HANCOCK LIFE INS. CO.,15264.0,1,JOHN HANCOCK LIFE INS,False,0,3,1
10233346,JOHN HANCOCK LIFE INSURANCE CO (USA,270.0,1,JOHN HANCOCK LIFE INSURANCE USA,False,0,3,1
10233346,JOHN HANCOCK LIFE INSURANCE COMPANY,17051.0,5,JOHN HANCOCK LIFE INSURANCE COMPANY,False,0,3,1
10726056,CONRAD SIEGEL INVESTMENT ADVISORS,228671.0,1,CONRAD SIEGEL INVESTMENT,False,1,1,0
112778625,BLATT & DAUMAN LLP,10000.0,1,BLATT DAUMAN LLP,False,2,1,0
113271022,"ASSOCIATED PENSION CONSULTANTS, INC",3240.0,1,ASSOCIATED PENSION CONSULTANTS,False,3,2,1
113544517,THE ROSENBAUM LAW FIRM P.C.,4141.0,1,THE ROSENBAUM LAW FIRM PC,False,4,1,0
113639254,VANDERBILT SECURITIES LLC,23330.0,1,VANDERBILT SECURITIES,False,5,1,0
113665754,ASCENSUS LLC,94258.0,8,ASCENSUS,False,6,2,1
113665754,"ASCENSUS, LLC",22815.0,1,ASCENSUS,False,6,2,1
131624203,TIAA-TEACHERS INSUR & ANNUITY ASSOC,10314.0,1,TIAATEACHERS INSUR ANNUITY ASSOC,False,7,1,0
132624428,JP MORGAN FUNDS,0.0,1,JP MORGAN FUNDS,False,8,2,1
132624428,JPMORGAN INVEST HOLDINGS LLC,330.0,1,JPMORGAN INVEST HOLDINGS,False,8,2,1
132638166,UBS FINANCIAL SERVICES,12324.0,1,UBS,False,9,3,1
132638166,UBS FINANCIAL SERVICES INC,68881.0,2,UBS,False,9,3,1
132638166,"UBS FINANCIAL SERVICES, INC.",22616.0,1,UBS,False,9,3,1
132700161,VICTORY CAPITAL MANAGEMENT INC.,143497.0,1,VICTORY,False,10,1,0
133036745,"ADP, INC.",1153569.0,32,ADP,False,11,2,1
133036745,"ADP, LLC",6941.0,1,ADP,False,11,2,1
133068979,"MULTIPLAN, INC",18892.0,1,MULTIPLAN,False,12,1,0
133180631,COLUMBIA MANAGEMENT,39735.0,1,COLUMBIA,False,13,1,0
133352347,PGIM INVESTMENTS,0.0,1,PGIM,False,14,1,0
133646501,JOHN HANCOCK NEW YORK,148.0,1,JOHN HANCOCK NEW YORK,False,15,1,0
133689044,TRANSAMERICA RETIREMENT SOLUTIONS,446270.0,15,TRANSAMERICA RETIREMENT SOLUTIONS,False,16,1,0
134238973,"TRANSITION FINANCE STRATEGIES, LLC",20155.0,1,TRANSITION FINANCE STRATEGIES,False,17,1,0
134255527,"CALVETTI FERGUSON, LLC",14584.0,1,CALVETTI FERGUSON,False,18,1,0
135160382,BANK OF NEW YORK MELLON,8207.0,1,BANK OF NEW YORK MELLON,False,19,2,1
135160382,THE BANK OF NEW YORK MELLON,71857.0,1,THE BANK OF NEW YORK MELLON,False,19,2,1
135570651,EQUITABLE LIFE INSURANCE COMPANY,11627.0,1,EQUITABLE LIFE INSURANCE COMPANY,False,20,1,0
135581829,METROPOLITAN LIFE INSURANCE COMPANY,30.0,1,METROPOLITAN LIFE INSURANCE COMPANY,False,21,1,0
135674085,MERRILL LYNCH PIERCE FENNER & SMITH,10270.0,5,MERRILL LYNCH PIERCE FENNER SMITH,False,22,3,1
135674085,MERRILL LYNCH RETIREMENT BENEFIT SV,15037.0,1,MERRILL LYNCH RETIREMENT BENEFIT SV,False,22,3,1
135674085,"MERRILL LYNCH, PIERCE, FENNER AND S",214106.0,2,MERRILL LYNCH PIERCE FENNER AND S,False,22,3,1
141918990,TEMPLETON & COMPANY LLP,17418.0,1,TEMPLETON COMPANY LLP,False,23,1,0
150329043,EXCELLUS BLUE CROSS BLUE SHIELD,18778.0,1,EXCELLUS BLUE CROSS BLUE SHIELD,False,24,1,0
161124166,"PAYCHEX, INC.",76265.0,9,PAYCHEX,False,25,1,0
161131146,BONADIO & CO. LLP,31000.0,1,BONADIO LLP,False,26,1,0
161264154,"MERITAIN HEALTH, AN AETNA COMPANY",287171.0,8,MERITAIN HEALTH AN AETNA COMPANY,False,27,1,0
161450952,EPIC RETIREMENT PLAN SERVICES,52202.0,2,EPIC RETIREMENT PLAN,False,28,1,0
161486352,PAYCHEX SECURITIES CORP.,28038.0,1,PAYCHEX SECURITIES,False,29,1,0
161662117,"MEDWATCH, LLC",5989.0,1,MEDWATCH,False,30,1,0
200488721,CYBERSOFT TECHNOLOGIES CORPORATION,3000.0,2,CYBERSOFT TECHNOLOGIES CORPORATION,False,31,1,0
200849843,LEE CPA AUDIT GROUP,4478.0,1,LEE CPA AUDIT,False,32,1,0
200878127,BROWN & BROWN (PA),24150.0,1,BROWN BROWN PA,False,33,3,1
200878127,BROWN & BROWN OF PENNSYLVANIA,26649.0,1,BROWN BROWN OF PENNSYLVANIA,False,33,3,1
201054428,ACTUARIAL BENEFITS CORP.,0.0,1,ACTUARIAL BENEFITS,False,34,1,0
201181458,NOVA 401(K) ASSOCIATES LP,7761.0,1,NOVA 401K ASSOCIATES,False,35,1,0
201301962,TPP RETIREMENT PLAN SPECIALISTS,11951.0,1,TPP RETIREMENT PLAN SPECIALISTS,False,36,1,0
201489174,"TURNER, WOOD & SMITH",190880.0,1,TURNER WOOD SMITH,False,37,1,0
201903821,MONETA GROUP LLC,29350.0,1,MONETA,False,38,1,0
202153727,SB & COMPANY LLC,35935.0,2,SB COMPANY,False,39,2,1
202153727,"SB & COMPANY, LLC",11213.0,1,SB COMPANY,False,39,2,1
203886993,"NATIONAL BENEFIT SERVICES, LLC",13749.0,1,NATIONAL BENEFIT,False,40,1,0
203917294,GRANITE FINANCIAL PARTNERS,121908.0,2,GRANITE PARTNERS,False,41,1,0
203974530,OVATION HEALTH & LIFE SERVICES,8577.0,1,OVATION HEALTH LIFE,False,42,1,0
204795685,COMPASS RETIREMENT CONSULTING GROUP,0.0,1,COMPASS RETIREMENT CONSULTING,False,43,1,0
208307105,BAM ADVISOR SERVICES LLC,13758.0,1,BAM ADVISOR,False,44,2,1
208307105,FOCUS PARTNERS ADVISOR SOLUTIONS,27779.0,1,FOCUS PARTNERS ADVISOR SOLUTIONS,False,44,2,1
208874282,LOCKTON INVESTMENT ADVISORS,0.0,1,LOCKTON INVESTMENT,False,45,2,1
208874282,LOCKTON INVESTMENT ADVISORS LLC,6399.0,2,LOCKTON INVESTMENT,False,45,2,1
221146430,PNC BANK NATIONAL ASSOCIATION,10669.0,1,PNC BANK NATIONAL ASSOCIATION,False,46,3,1
221146430,"PNC BANK, NATIONAL ASSOCIATION",19381.0,1,PNC BANK NATIONAL ASSOCIATION,False,46,3,1
