ack_id,ein,plan_name,sponsor_name,fund_type_code,num_participants,admin_name,admin_ein,state,fund_type,label
20260106151019NAL0006623841001,812704975,ARISTOTLE COLLECTIVE INVESTMENT TRUST,SEI TRUST COMPANY,4.0,,,,PA,DFE,-1
20260106151149NAL0007090915001,825499317,BRIGADE COLLECTIVE INVESTMENT TRUST,SEI TRUST COMPANY,4.0,,,,PA,DFE,-1
20260106151149NAL0007090915002,811085578,AXIOM INVESTORS COLLECTIVE INVESTMENT TRUST,SEI TRUST COMPANY,4.0,,,,PA,DFE,-1
20260106151149NAL0007090915003,264377500,EARNEST PARTNERS MULTIPLE INVESTMENT TRUST,SEI TRUST COMPANY,4.0,,,,PA,DFE,-1
20260106151319NAL0012758594002,991917716,FPA COLLECTIVE INVESTMENT TRUST,SEI TRUST COMPANY,4.0,,,,PA,DFE,-1
20260106151319NAL0012758594004,473293725,KBI GLOBAL INVESTORS (NA) LTD CIT,SEI TRUST COMPANY,4.0,,,,PA,DFE,-1
20260106151319NAL0012758594001,473260276,FIERA ASSET MANAGEMENT USA COLLECTIVE TRUST,SEI TRUST COMPANY,4.0,,,,PA,DFE,-1
20260209073925NAL0001435232001,883781160,CONSOLIDATED CLARITY CORPORATION 401(K) PLAN,CONSOLIDATED CLARITY CORPORATION,2.0,1.0,,,FL,Multi Employer,-1
20260209074629NAL0001309536001,990481447,"LUMINALIUS, INC. PROFIT SHARING PLAN","LUMINALIUS, INC.",2.0,0.0,,,VA,Multi Employer,-1
20260209130002NAL0001141537001,473425348,OCEANSIDE HEALTHCARE STAFFING INCORPORATED 401(K) PLAN,OCEANSIDE HEALTHCARE STAFFING INCORPORATED,2.0,2.0,,,CA,Multi Employer,-1
20260209130601NAL0001807010001,882562124,"INFINITE FLEX, INC. RETIREMENT PLAN","INFINITE FLEX, INC.",2.0,0.0,,,GA,Multi Employer,-1
20260210135236NAL0002771057001,850889224,KKS INCORPORATED RETIREMENT PLAN,KKS INCORPORATED,2.0,1.0,,,IA,Multi Employer,-1
20260210135712NAL0002771633001,823992909,JARS HOLDINGS LLC 401(K) PLAN,JARS HOLDINGS LLC,2.0,0.0,,,MI,Multi Employer,-1
20260210140000NAL0002258561001,832019922,"DON BECK HOLDINGS, INC. 401(K) PLAN","DON BECK HOLDINGS, INC.",2.0,0.0,,,TX,Multi Employer,-1
20260210151214NAL0002038755001,463047049,"GENIUS IN TRAINING, INC. 401(K) PLAN","GENIUS IN TRAINING, INC.",2.0,2.0,,,TX,Multi Employer,-1
20260210152026NAL0004968434001,814170527,"BE SUNSHINE, LLC 401(K) PLAN","BE SUNSHINE, LLC",2.0,146.0,,,CA,Multi Employer,-1
20260210152919NAL0003244307001,920715193,"KOVICAK ENTERPRISES, INC. 401(K) PROFIT SHARING PLAN","KOVICAK ENTERPRISES, INC.",2.0,0.0,,,NC,Multi Employer,-1
20260210154506NAL0003288640001,340660433,ROBERTSON HEATING SUPPLY COMPANY WELFARE BENEFIT PLAN,ROBERTSON HEATING SUPPLY OF OHIO,2.0,0.0,,,OH,Multi Employer,-1
20260210132930NAL0003087744001,41355545,GFA FEDERAL CREDIT UNION 401(K) PROFIT SHARING PLAN,GFA FEDERAL CREDIT UNION,2.0,0.0,,,MA,Multi Employer,-1
20260210133346NAL0003065283001,660559417,CARIBBEAN MEDICAL CENTER 1081.01(D) RETIREMENT PLAN,CARIBE PHYSICIANS PLAZA CORPORATION DBA CARIBBEAN MEDICAL CENTER,2.0,178.0,,,PR,Multi Employer,-1
20260210133502NAL0003065491001,562594012,BRETT DINOVI & ASSOCIATES LLC WELFARE BENEFIT PLAN,BRETT DINOVI & ASSOCIATES LLC,2.0,488.0,,,NJ,Multi Employer,-1
20260210133629NAL0002233329001,261663468,RIVER'S EDGE DENTAL CLINIC 401(K)/PROFIT SHARING PLAN,"RIVER'S EDGE DENTAL CLINIC, PLLC",2.0,12.0,,,MN,Multi Employer,-1
20260210134147NAL0003357122001,472779215,"AJ MACHINING, LLC 401(K)/PROFIT SHARING PLAN","AJ MACHINING, LLC",2.0,13.0,,,MN,Multi Employer,-1
20260223151507NAL0002444386001,201057056,CHARLES D WOODS MD PC 401K PROFIT SHARING PLAN,"CHARLES D. WOODS, M.D., P.C.",2.0,6.0,,,AL,Multi Employer,-1
20260223151704NAL0001312192001,720917032,"FLUID DISPOSAL SPECIALTIES, INC. LIFE INSURANCE PLAN","FLUID DISPOSAL SPECIALTIES, INC.",2.0,131.0,,,LA,Multi Employer,-1
20260223151715NAL0001312272001,842131830,THE SENSIA 401(K) SAVINGS PLAN,SENSIA LLC,2.0,284.0,,,WI,Multi Employer,-1
20260223074942NAL0001040305001,852579843,SBC DEVELOPMENT AND PROPERTY MANAGEMENT INC. RETIREMENT PLAN,SBC DEVELOPMENT AND PROPERTY MANAGEMENT INC.,2.0,1.0,,,TX,Multi Employer,-1
20260324110949NAL0002461921001,583659664,BENITEZ CAMACHO PENSION TRUST,MAGALY CAMACHO LA LUZ,2.0,1.0,,,PR,Multi Employer,-1
20260324111216NAL0003933266001,631236235,ROBERT GORDON MOWRY MD 401(K) PROFIT SHARING PLAN,"ROBERT GORDON MOWRY, M.D.",2.0,0.0,,,AL,Multi Employer,-1
20260324111634NAL0004116320001,132775750,COMPREHENSIVE HEALTH PLAN FOR EMPLOYEES OF BANK HAPOALIM B.M.,BANK HAPOALIM B.M.,2.0,243.0,,,NY,Multi Employer,-1
20260324111655NAL0002463921001,584795642,J ACEVEDO ORENGO RETIREMENT PLAN,JORGE A. ACEVEDO ORENGO,2.0,1.0,,,PR,Multi Employer,-1
20260324111721NAL0003940402001,870563379,"GOENGINEER, INC. WELFARE BENEFITS PLAN","GOENGINEER, INC.",2.0,693.0,,,UT,Multi Employer,-1
20260324112641NAL0002465617001,352168757,"JONES FAMILY MEDICINE CLINIC, PLLC CASH BALANCE PLAN","JONES FAMILY MEDICINE CLINIC, PLLC",2.0,0.0,,,MS,Multi Employer,-1
20260324163655NAL0003089153001,863687551,"VIGENT, INC. 401(K) PROFIT SHARING PLAN","VIGENT, INC.",2.0,3.0,,,CT,Multi Employer,-1
20260324164152NAL0002753377001,646026549,"MISSISSIPPI METHODIST SENIOR SERVICES, INC. SECTION 125 CAFETERIA PLAN","MISSISSIPPI METHODIST SENIOR SERVICES, INC.",2.0,108.0,,,MS,Multi Employer,-1
20260324094510NAL0001444547001,232883723,"GENESIS ENGINEERS, INC. HEALTH REIMBURSEMENT ARRANGEMENT","GENESIS ENGINEERS, INC.",2.0,275.0,,,PA,Multi Employer,-1
20260324094700NAL0003853890001,582653903,MT PEREA FERNANDEZ RETIREMENT PLAN,MARIA T. PEREA FERNANDEZ,2.0,1.0,,,PR,Multi Employer,-1
20260324095348NAL0002876816001,221494434,FAIRLEIGH DICKINSON UNIVERSITY EMPLOYEE BENEFIT PLAN,FAIRLEIGH DICKINSON UNIVERSITY,2.0,907.0,,,NJ,Multi Employer,-1
