ein,plan_name,fund_type,num_participants,num_managers,total_fees,top_manager_concentration,fee_percentile,total_shared_managers,betweenness_score,community_concentration,same_parent_fee_ratio,in_circular_pattern,risk_score,has_manager_data,label
812704975,ARISTOTLE COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
825499317,BRIGADE COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
811085578,AXIOM INVESTORS COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
264377500,EARNEST PARTNERS MULTIPLE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
991917716,FPA COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
473293725,KBI GLOBAL INVESTORS (NA) LTD CIT,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
473260276,FIERA ASSET MANAGEMENT USA COLLECTIVE TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
883781160,CONSOLIDATED CLARITY CORPORATION 401(K) PLAN,Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
990481447,"LUMINALIUS, INC. PROFIT SHARING PLAN",Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
473425348,OCEANSIDE HEALTHCARE STAFFING INCORPORATED 401(K) PLAN,Multi Employer,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
882562124,"INFINITE FLEX, INC. RETIREMENT PLAN",Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
850889224,KKS INCORPORATED RETIREMENT PLAN,Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
823992909,JARS HOLDINGS LLC 401(K) PLAN,Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
832019922,"DON BECK HOLDINGS, INC. 401(K) PLAN",Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
463047049,"GENIUS IN TRAINING, INC. 401(K) PLAN",Multi Employer,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
814170527,"BE SUNSHINE, LLC 401(K) PLAN",Multi Employer,146.0,1.0,10483.0,1.0,0.3421686746987952,11111111111111.0,0.0,1.0,0.0,0,5,1,0
920715193,"KOVICAK ENTERPRISES, INC. 401(K) PROFIT SHARING PLAN",Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
340660433,ROBERTSON HEATING SUPPLY COMPANY WELFARE BENEFIT PLAN,Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
41355545,GFA FEDERAL CREDIT UNION 401(K) PROFIT SHARING PLAN,Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
660559417,CARIBBEAN MEDICAL CENTER 1081.01(D) RETIREMENT PLAN,Multi Employer,178.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
562594012,BRETT DINOVI & ASSOCIATES LLC WELFARE BENEFIT PLAN,Multi Employer,488.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
261663468,RIVER'S EDGE DENTAL CLINIC 401(K)/PROFIT SHARING PLAN,Multi Employer,12.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
472779215,"AJ MACHINING, LLC 401(K)/PROFIT SHARING PLAN",Multi Employer,13.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
201057056,CHARLES D WOODS MD PC 401K PROFIT SHARING PLAN,Multi Employer,6.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
720917032,"FLUID DISPOSAL SPECIALTIES, INC. LIFE INSURANCE PLAN",Multi Employer,131.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
842131830,THE SENSIA 401(K) SAVINGS PLAN,Multi Employer,284.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
852579843,SBC DEVELOPMENT AND PROPERTY MANAGEMENT INC. RETIREMENT PLAN,Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
583659664,BENITEZ CAMACHO PENSION TRUST,Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
631236235,ROBERT GORDON MOWRY MD 401(K) PROFIT SHARING PLAN,Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
132775750,COMPREHENSIVE HEALTH PLAN FOR EMPLOYEES OF BANK HAPOALIM B.M.,Multi Employer,243.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
584795642,J ACEVEDO ORENGO RETIREMENT PLAN,Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
870563379,"GOENGINEER, INC. WELFARE BENEFITS PLAN",Multi Employer,693.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
352168757,"JONES FAMILY MEDICINE CLINIC, PLLC CASH BALANCE PLAN",Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
863687551,"VIGENT, INC. 401(K) PROFIT SHARING PLAN",Multi Employer,3.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
646026549,"MISSISSIPPI METHODIST SENIOR SERVICES, INC. SECTION 125 CAFETERIA PLAN",Multi Employer,108.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
232883723,"GENESIS ENGINEERS, INC. HEALTH REIMBURSEMENT ARRANGEMENT",Multi Employer,275.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
582653903,MT PEREA FERNANDEZ RETIREMENT PLAN,Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
221494434,FAIRLEIGH DICKINSON UNIVERSITY EMPLOYEE BENEFIT PLAN,Multi Employer,907.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
264757392,HARRIS ASSOCIATES COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
830686634,PINEBRIDGE COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
812617494,POLEN CAPITAL MASTER COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
272402927,RAINIER MULTIPLE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
850894185,SANDS CAPITAL COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
516567688,SEI OPPORTUNITY COLLECTIVE FUND,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
820827441,TOCQUEVILLE MASTER COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
842543540,WCM COLLECTIVE INVESTMENT TRUST,DFE,,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
825392117,"MURRAY DUPLEX, LLC 401(K) PLAN",Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
391986647,ZSI EMPLOYEE STOCK OWNERSHIP PLAN,Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
274542597,ARIZONA IP HOLDING COMPANY 401K PROFIT SHARING PLAN,Multi Employer,3.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
872926524,"ZFBHATTI, INC. 401(K) PROFIT SHARING PLAN",Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
872007795,ZIMVIE INC. PUERTO RICO SAVINGS AND INVESTMENT 401(K) PROGRAM,Multi Employer,0.0,4.0,3517.0,0.48791583736138755,0.18795180722891566,1.1121121112111111e+55,582.1295343545348,0.3333333333333333,0.5575774808075064,0,3,1,1
331597882,SECOND WIND G5 INC. RETIREMENT PLAN,Multi Employer,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
871120047,UNIVERSE V INCORPORATED 401(K) PROFIT SHARING PLAN,Multi Employer,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
581816279,NORIS M. DIAZ ROMERO RETIREMENT PLAN,Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
874760540,NL STARFISH PARTNERS HEALTH AND WELFARE PLAN,Multi Employer,196.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
800866775,RIGHTSLINE EMPLOYEE BENEFITS PLAN,Multi Employer,105.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
463202456,TOMMY TWOS INC PROFIT SHARING PLAN,Multi Employer,2.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
202114632,"PAGADOKI, INC. PROFIT SHARING PLAN & TRUST",Multi Employer,5.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
583988571,ELSA MARGARITA SAAVEDRA RETIEREMENT PLAN,Multi Employer,1.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
650608221,BUOY PEO POOLED EMPLOYER PLAN,Multiple Employer,35.0,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0,0,0,-1
